CodMunicipio;Municipi;Casos PCR+;Incidència acumulada PCR+;Casos PCR+ 14 dies;Incidència acumulada PCR+14;Defuncions;Taxa de defunció
46001;Ademuz; 42; 4030,71; 16; 1535,51; 0; 0,0
46002;Ador; 22; 1458,89; 1; 66,31; 1; 66,31
3001;Adsubia; 1; 158,23; 0; 0,0; 0; 0,0
3002;Agost; 80; 1681,38; 10; 210,17; 1; 21,02
3003;Agres; 1; 176,99; 0; 0,0; 0; 0,0
46004;Agullent; 27; 1120,33; 7; 290,46; 3; 124,48
46042;Aielo de Malferit; 86; 1862,28; 14; 303,16; 0; 0,0
46043;Aielo de Rugat; 0; 0,0; 0; 0,0; 0; 0,0
3004;Aigües; 5; 519,21; 0; 0,0; 0; 0,0
46005;Alaquàs; 760; 2570,95; 77; 260,48; 13; 43,98
46006;Albaida; 112; 1898,31; 22; 372,88; 0; 0,0
46007;Albal; 264; 1609,85; 36; 219,53; 2; 12,2
46008;Albalat de la Ribera; 79; 2351,19; 9; 267,86; 1; 29,76
46009;Albalat dels Sorells; 73; 1835,55; 14; 352,02; 0; 0,0
46010;Albalat dels Tarongers; 23; 1866,88; 2; 162,34; 1; 81,17
3005;Albatera; 377; 3070,28; 22; 179,17; 5; 40,72
46011;Alberic; 267; 2536,58; 27; 256,51; 1; 9,5
12003;Albocàsser; 36; 2900,89; 1; 80,58; 2; 161,16
46012;Alborache; 45; 3879,31; 1; 86,21; 9; 775,86
46013;Alboraya; 474; 1938,33; 42; 171,75; 7; 28,63
46014;Albuixech; 71; 1767,49; 6; 149,37; 8; 199,15
3006;Alcalalí; 7; 547,73; 0; 0,0; 0; 0,0
12004;Alcalà de Xivert; 171; 2559,88; 29; 434,13; 1; 14,97
3007;Alcocer de Planes; 2; 869,57; 0; 0,0; 0; 0,0
3008;Alcoleja; 4; 2312,14; 1; 578,03; 0; 0,0
12005;Alcora (l'); 240; 2306,58; 21; 201,83; 5; 48,05
3009;Alcoy/Alcoi; 1307; 2215,48; 184; 311,9; 93; 157,64
46018;Alcublas; 2; 318,47; 0; 0,0; 0; 0,0
12006;Alcudia de Veo; 3; 1578,95; 0; 0,0; 1; 526,32
46016;Alcàntera de Xúquer; 18; 1394,27; 2; 154,92; 2; 154,92
46015;Alcàsser; 160; 1593,78; 24; 239,07; 4; 39,84
46019;Alcúdia (l'); 417; 3472,4; 37; 308,1; 1; 8,33
46020;Alcúdia de Crespins (l'); 137; 2656,58; 28; 542,95; 2; 38,78
46021;Aldaia; 468; 1468,74; 24; 75,32; 9; 28,25
